model,lr,hidden_size,batch_size,pooling_style,epoch,acc,execution_time
rnn,0.0001,768,128,max,11,0.820726425,2.178176403
rnn,0.0001,768,128,max,12,0.824391869,2.183162928
rnn,0.0001,768,128,max,13,0.824391869,2.287882566
rnn,0.0001,768,128,max,14,0.828057314,1.985691071
rnn,0.0001,768,128,max,15,0.829390203,1.97073102
rnn,1.00E-05,128,64,avg,1,0.559146951,0.565444946
rnn,1.00E-05,128,64,avg,2,0.582472509,0.573467016
rnn,1.00E-05,128,64,avg,3,0.603798734,0.567482948
rnn,1.00E-05,128,64,avg,4,0.611796068,0.576458216
rnn,1.00E-05,128,64,avg,5,0.626124625,0.579450846
rnn,1.00E-05,128,64,avg,6,0.645784738,0.565488577
rnn,1.00E-05,128,64,avg,7,0.65778074,0.569476843
rnn,1.00E-05,128,64,avg,8,0.665778074,0.782907486
rnn,1.00E-05,128,64,avg,9,0.671442852,0.740021467
rnn,1.00E-05,128,64,avg,10,0.677774075,0.572468996
rnn,1.00E-05,128,64,avg,11,0.682105965,0.570475101
rnn,1.00E-05,128,64,avg,12,0.687437521,0.586431742
rnn,1.00E-05,128,64,avg,13,0.693102299,0.571472406
rnn,1.00E-05,128,64,avg,14,0.692769077,0.568479776
rnn,1.00E-05,128,64,avg,15,0.6961013,0.568480253
rnn,1.00E-05,128,64,max,1,0.66377874,0.649220467
rnn,1.00E-05,128,64,max,2,0.657114295,0.643280029
rnn,1.00E-05,128,64,max,3,0.655114962,0.642282963
rnn,1.00E-05,128,64,max,4,0.656114628,0.683173656
rnn,1.00E-05,128,64,max,5,0.65778074,0.658239841
rnn,1.00E-05,128,64,max,6,0.65778074,0.640288353
rnn,1.00E-05,128,64,max,7,0.659113629,0.63929081
rnn,1.00E-05,128,64,max,8,0.659113629,0.637296438
rnn,1.00E-05,128,64,max,9,0.660446518,0.646272182
rnn,1.00E-05,128,64,max,10,0.662779074,0.642283678
rnn,1.00E-05,128,64,max,11,0.662112629,0.646271944
rnn,1.00E-05,128,64,max,12,0.663445518,0.662229061
rnn,1.00E-05,128,64,max,13,0.66377874,0.63929081
rnn,1.00E-05,128,64,max,14,0.664111963,0.642283678
rnn,1.00E-05,128,64,max,15,0.664445185,0.639291048
rnn,1.00E-05,128,128,avg,1,0.622125958,0.328079224
rnn,1.00E-05,128,128,avg,2,0.625458181,0.334106684
rnn,1.00E-05,128,128,avg,3,0.631122959,0.331114769
rnn,1.00E-05,128,128,avg,4,0.635121626,0.330116987
rnn,1.00E-05,128,128,avg,5,0.639120293,0.332112789
rnn,1.00E-05,128,128,avg,6,0.642452516,0.332111835
rnn,1.00E-05,128,128,avg,7,0.64745085,0.335103989
rnn,1.00E-05,128,128,avg,8,0.652115961,0.336101532
rnn,1.00E-05,128,128,avg,9,0.655448184,0.337098837
rnn,1.00E-05,128,128,avg,10,0.658780407,0.334106684
rnn,1.00E-05,128,128,avg,11,0.661446185,0.333109379
rnn,1.00E-05,128,128,avg,12,0.66377874,0.334106922
rnn,1.00E-05,128,128,avg,13,0.664111963,0.329119444
rnn,1.00E-05,128,128,avg,14,0.664445185,0.333110094
rnn,1.00E-05,128,128,avg,15,0.665444852,0.332112312
rnn,1.00E-05,128,128,max,1,0.597134289,0.391908407
rnn,1.00E-05,128,128,max,2,0.652449184,0.393946409
rnn,1.00E-05,128,128,max,3,0.661779407,0.398933887
rnn,1.00E-05,128,128,max,4,0.664111963,0.396938801
rnn,1.00E-05,128,128,max,5,0.666111296,0.40790987
rnn,1.00E-05,128,128,max,6,0.665444852,0.411898851
rnn,1.00E-05,128,128,max,7,0.665778074,0.409904242
rnn,1.00E-05,128,128,max,8,0.664445185,0.394943714
rnn,1.00E-05,128,128,max,9,0.665444852,0.398933649
rnn,1.00E-05,128,128,max,10,0.666777741,0.395941257
rnn,1.00E-05,128,128,max,11,0.666444518,0.395941734
rnn,1.00E-05,128,128,max,12,0.667777408,0.503654003
rnn,1.00E-05,128,128,max,13,0.66811063,0.399930716
rnn,1.00E-05,128,128,max,14,0.667777408,0.398932695
rnn,1.00E-05,128,128,max,15,0.668443852,0.397935867
rnn,1.00E-05,768,64,avg,1,0.73008997,2.70272994
rnn,1.00E-05,768,64,avg,2,0.732422526,2.609024525
rnn,1.00E-05,768,64,avg,3,0.731756081,2.62298727
rnn,1.00E-05,768,64,avg,4,0.733422193,2.617999792
rnn,1.00E-05,768,64,avg,5,0.733755415,2.615008831
rnn,1.00E-05,768,64,avg,6,0.736754415,2.622987509
rnn,1.00E-05,768,64,avg,7,0.74041986,2.617003679
rnn,1.00E-05,768,64,avg,8,0.742752416,2.612015486
rnn,1.00E-05,768,64,avg,9,0.746751083,2.610022068
rnn,1.00E-05,768,64,avg,10,0.749083639,2.633958101
rnn,1.00E-05,768,64,avg,11,0.752415861,2.609024048
rnn,1.00E-05,768,64,avg,12,0.755414862,2.628971815
rnn,1.00E-05,768,64,avg,13,0.763745418,2.615008116
rnn,1.00E-05,768,64,avg,14,0.768743752,2.635951757
rnn,1.00E-05,768,64,avg,15,0.773408864,2.607030153
rnn,1.00E-05,768,64,max,1,0.648117294,2.984975338
rnn,1.00E-05,768,64,max,2,0.659780073,2.976042986
rnn,1.00E-05,768,64,max,3,0.660446518,2.976042747
rnn,1.00E-05,768,64,max,4,0.660113296,2.976043224
rnn,1.00E-05,768,64,max,5,0.658447184,2.963078022
rnn,1.00E-05,768,64,max,6,0.666444518,3.021919966
rnn,1.00E-05,768,64,max,7,0.666444518,2.972053528
rnn,1.00E-05,768,64,max,8,0.670776408,3.069792509
rnn,1.00E-05,768,64,max,9,0.672442519,2.99200058
rnn,1.00E-05,768,64,max,10,0.679773409,2.96407485
rnn,1.00E-05,768,64,max,11,0.686104632,2.986016512
rnn,1.00E-05,768,64,max,12,0.692435855,3.043861866
rnn,1.00E-05,768,64,max,13,0.699433522,2.980032206
rnn,1.00E-05,768,64,max,14,0.705098301,2.985019445
rnn,1.00E-05,768,64,max,15,0.709763412,3.004965782
rnn,1.00E-05,768,128,avg,1,0.589136954,1.622619152
rnn,1.00E-05,768,128,avg,2,0.626457847,1.602715492
rnn,1.00E-05,768,128,avg,3,0.649450183,1.606703997
rnn,1.00E-05,768,128,avg,4,0.670443186,1.611691713
rnn,1.00E-05,768,128,avg,5,0.677440853,1.600720644
rnn,1.00E-05,768,128,avg,6,0.68577141,1.598726511
rnn,1.00E-05,768,128,avg,7,0.690436521,1.624657154
rnn,1.00E-05,768,128,avg,8,0.692769077,1.600720882
rnn,1.00E-05,768,128,avg,9,0.695101633,1.602714777
rnn,1.00E-05,768,128,avg,10,0.697767411,1.622662306
rnn,1.00E-05,768,128,avg,11,0.701432856,1.611690998
rnn,1.00E-05,768,128,avg,12,0.704431856,1.602715492
rnn,1.00E-05,768,128,avg,13,0.708763745,1.618673801
rnn,1.00E-05,768,128,avg,14,0.713095635,1.619669437
rnn,1.00E-05,768,128,avg,15,0.716427857,1.620667458
rnn,1.00E-05,768,128,max,1,0.651449517,1.958719015
rnn,1.00E-05,768,128,max,2,0.642785738,1.944800138
rnn,1.00E-05,768,128,max,3,0.646451183,1.97073102
rnn,1.00E-05,768,128,max,4,0.651449517,1.965744257
rnn,1.00E-05,768,128,max,5,0.655448184,1.946795225
rnn,1.00E-05,768,128,max,6,0.654115295,2.028576374
rnn,1.00E-05,768,128,max,7,0.659446851,1.980704069
rnn,1.00E-05,768,128,max,8,0.657447517,1.966741562
rnn,1.00E-05,768,128,max,9,0.666111296,1.955770969
rnn,1.00E-05,768,128,max,10,0.667110963,1.952779293
rnn,1.00E-05,768,128,max,11,0.668443852,2.233029127
rnn,1.00E-05,768,128,max,12,0.671442852,1.986688137
rnn,1.00E-05,768,128,max,13,0.675108297,1.964746952
rnn,1.00E-05,768,128,max,14,0.680773076,2.041541576
rnn,1.00E-05,768,128,max,15,0.685104965,1.946794987
lstm,0.001,128,64,avg,1,0.800066644,0.571428061
lstm,0.001,128,64,avg,2,0.835054982,0.565488577
lstm,0.001,128,64,avg,3,0.841719427,0.576458454
lstm,0.001,128,64,avg,4,0.843052316,0.567482948
lstm,0.001,128,64,avg,5,0.834721759,0.56748271
lstm,0.001,128,64,avg,6,0.832055981,0.570474625
lstm,0.001,128,64,avg,7,0.830723092,0.566485882
lstm,0.001,128,64,avg,8,0.826724425,0.566485405
lstm,0.001,128,64,avg,9,0.825391536,0.565488338
lstm,0.001,128,64,avg,10,0.820726425,0.580447912
lstm,0.001,128,64,avg,11,0.82305898,0.567482948
lstm,0.001,128,64,avg,12,0.822725758,0.577456236
lstm,0.001,128,64,avg,13,0.818393869,0.570474625
lstm,0.001,128,64,avg,14,0.821392869,0.56748271
lstm,0.001,128,64,avg,15,0.814395202,0.567482471
lstm,0.001,128,64,max,1,0.762745751,0.637252808
lstm,0.001,128,64,max,2,0.810396534,0.641285658
lstm,0.001,128,64,max,3,0.816727757,0.648267031
lstm,0.001,128,64,max,4,0.831722759,0.651259184
lstm,0.001,128,64,max,5,0.826724425,0.643280745
lstm,0.001,128,64,max,6,0.831389537,0.645274162
lstm,0.001,128,64,max,7,0.83338887,0.644278049
lstm,0.001,128,64,max,8,0.836387871,0.644278049
lstm,0.001,128,64,max,9,0.841052982,0.644277334
lstm,0.001,128,64,max,10,0.826391203,0.660234451
lstm,0.001,128,64,max,11,0.815394868,0.649263859
lstm,0.001,128,64,max,12,0.81706098,0.659237146
lstm,0.001,128,64,max,13,0.817727424,0.652256966
lstm,0.001,128,64,max,14,0.795734755,0.650261641
lstm,0.001,128,64,max,15,0.80973009,0.647269487
lstm,0.001,128,128,avg,1,0.737754082,0.33206892
lstm,0.001,128,128,avg,2,0.818393869,0.331114769
lstm,0.001,128,128,avg,3,0.835054982,0.335103989
lstm,0.001,128,128,avg,4,0.836387871,0.337099314
lstm,0.001,128,128,avg,5,0.837054315,0.342085361
lstm,0.001,128,128,avg,6,0.835721426,0.334106922
lstm,0.001,128,128,avg,7,0.832722426,0.334106684
lstm,0.001,128,128,avg,8,0.834388537,0.344079971
lstm,0.001,128,128,avg,9,0.832722426,0.334106445
lstm,0.001,128,128,avg,10,0.829056981,0.334106445
lstm,0.001,128,128,avg,11,0.82739087,0.333109617
lstm,0.001,128,128,avg,12,0.829723426,0.33510375
lstm,0.001,128,128,avg,13,0.825391536,0.337098837
lstm,0.001,128,128,avg,14,0.824391869,0.331115246
lstm,0.001,128,128,avg,15,0.825391536,0.33610177
lstm,0.001,128,128,max,1,0.660113296,0.391909122
lstm,0.001,128,128,max,2,0.732755748,0.415888071
lstm,0.001,128,128,max,3,0.767744085,0.396939754
lstm,0.001,128,128,max,4,0.787404199,0.400927544
lstm,0.001,128,128,max,5,0.815728091,0.398933649
lstm,0.001,128,128,max,6,0.826724425,0.408906698
lstm,0.001,128,128,max,7,0.832055981,0.40092802
lstm,0.001,128,128,max,8,0.822059314,0.399931192
lstm,0.001,128,128,max,9,0.821059647,0.398933172
lstm,0.001,128,128,max,10,0.823392203,0.399930954
lstm,0.001,128,128,max,11,0.825724758,0.399930954
lstm,0.001,128,128,max,12,0.823392203,0.396938801
lstm,0.001,128,128,max,13,0.822725758,0.402922869
lstm,0.001,128,128,max,14,0.830723092,0.399930716
lstm,0.001,128,128,max,15,0.828390536,0.402922392
lstm,0.001,768,64,avg,1,0.830056648,2.6039958
lstm,0.001,768,64,avg,2,0.836721093,2.634955645
lstm,0.001,768,64,avg,3,0.845384872,2.621989965
lstm,0.001,768,64,avg,4,0.837054315,2.60802722
lstm,0.001,768,64,avg,5,0.832055981,2.733692169
lstm,0.001,768,64,avg,6,0.813395535,2.643931389
lstm,0.001,768,64,avg,7,0.815728091,2.621989727
lstm,0.001,768,64,avg,8,0.824391869,2.625979662
lstm,0.001,768,64,avg,9,0.816394535,2.62298727
lstm,0.001,768,64,avg,10,0.814395202,2.643931389
lstm,0.001,768,64,avg,11,0.812062646,2.623984814
lstm,0.001,768,64,avg,12,0.807064312,2.625977993
lstm,0.001,768,64,avg,13,0.80673109,2.625980139
lstm,0.001,768,64,avg,14,0.805064978,2.631963491
